<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2019.07.18	5.570	5.580	5.520	5.530	1849	130925	5
2019.07.19	5.540	5.550	5.520	5.550	1863	196395	5
2019.07.22	5.550	5.550	5.480	5.500	2097	132163	5
2019.07.23	5.490	5.490	5.420	5.430	4164	371380	5
2019.07.24	5.430	5.440	5.410	5.420	1984	169275	5
2019.07.25	5.420	5.490	5.410	5.470	4794	243490	5
2019.07.26	5.460	5.490	5.440	5.440	2952	171925	5
2019.07.29	5.440	5.470	5.430	5.440	1615	119815	5
2019.07.30	5.440	5.460	5.410	5.430	3324	234285	5
2019.07.31	5.420	5.530	5.410	5.480	3722	252485	5
2019.08.01	5.370	5.430	5.360	5.420	7017	533085	5
2019.08.02	5.420	5.450	5.380	5.440	4639	328445	5
2019.08.05	5.460	5.580	5.460	5.580	7187	520475	5
2019.08.06	5.540	5.560	5.480	5.510	4979	452120	5
2019.08.07	5.450	5.490	5.420	5.430	5270	436250	5
2019.08.08	5.400	5.420	5.390	5.410	2471	266410	5
2019.08.09	5.410	5.420	5.370	5.380	3225	243345	5
2019.08.12	5.450	5.470	5.380	5.380	4098	315355	5
2019.08.13	5.390	5.430	5.370	5.400	2565	216985	5
2019.08.14	5.410	5.490	5.390	5.480	4086	357616	5
2019.08.15	5.450	5.530	5.430	5.440	4067	297168	5
2019.08.16	5.430	5.440	5.380	5.390	1986	255305	5
2019.08.19	5.380	5.470	5.370	5.470	2846	224500	5
2019.08.20	5.470	5.540	5.420	5.450	7366	504730	5
2019.08.21	5.410	5.420	5.360	5.370	3903	584050	5
2019.08.22	5.350	5.400	5.320	5.380	3255	334355	5
2019.08.23	5.380	5.470	5.340	5.440	8018	493815	5
2019.08.26	5.420	5.580	5.400	5.550	7220	485685	5
2019.08.27	5.530	5.720	5.460	5.570	16246	1113520	5
2019.08.28	5.560	5.700	5.560	5.690	8923	589980	5
2019.08.29	5.670	5.780	5.590	5.640	14387	714355	5
2019.08.30	5.620	5.620	5.520	5.530	6068	448440	5
2019.09.02	5.520	5.580	5.510	5.570	2042	249480	5
2019.09.03	5.530	5.550	5.480	5.490	5144	398255	5
2019.09.04	5.450	5.450	5.410	5.420	2868	309650	5
2019.09.05	5.410	5.440	5.390	5.390	3618	347720	5
2019.09.06	5.390	5.410	5.350	5.350	4120	368890	5
2019.09.09	5.350	5.370	5.330	5.350	3080	257655	5
2019.09.10	5.340	5.380	5.340	5.340	3199	252510	5
2019.09.11	5.350	5.410	5.330	5.370	4571	425005	5
2019.09.12	5.350	5.390	5.330	5.340	2982	316380	5
2019.09.13	5.340	5.390	5.300	5.350	4114	341130	5
2019.09.16	5.360	5.370	5.250	5.260	4453	416475	5
2019.09.17	5.270	5.290	5.190	5.210	3680	424670	5
2019.09.18	5.200	5.240	5.180	5.220	3698	319630	5
2019.09.19	5.020	5.060	4.930	5.050	8771	1018780	5
2019.09.20	5.030	5.040	4.960	4.970	4908	388230	5
2019.09.23	4.980	5.030	4.970	5.000	3427	237435	5
2019.09.24	4.990	5.070	4.980	5.020	4188	350630	5
2019.09.25	5.060	5.070	4.990	4.990	3617	235615	5
2019.09.26	4.980	4.990	4.950	4.970	2760	409025	5
2019.09.27	4.960	4.990	4.950	4.960	2505	182470	5
2019.09.30	4.960	4.980	4.950	4.960	2312	236040	5
2019.10.01	4.970	5.000	4.950	4.960	3929	311285	5
2019.10.02	4.990	5.000	4.940	4.950	3824	417755	5
2019.10.03	4.940	4.960	4.860	4.880	3624	382470	5
2019.10.04	4.890	4.890	4.840	4.850	2043	167521	5
2019.10.07	4.860	4.890	4.830	4.880	2475	199845	5
2019.10.08	4.890	4.890	4.810	4.810	3439	320880	5
