<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2019.09.05	102300	103875	102300	102580	25158	163375	5
2019.09.06	102995	103760	102875	103590	14941	94435	5
2019.09.09	104000	104840	103330	103825	23691	152190	5
2019.09.10	103490	104155	102720	103475	23703	148290	5
2019.09.11	103880	104685	103640	104100	20302	125095	5
2019.09.12	104650	105195	104125	104620	25204	157585	5
2019.09.13	105155	105270	103635	103905	17311	111350	5
2019.09.16	103750	104460	103120	104155	26154	159110	5
2019.09.17	103700	105225	103300	105225	22289	137295	5
2019.09.18	105200	105200	103925	104950	22565	136360	5
2019.09.19	105600	106430	104535	104760	26663	174425	5
2019.09.20	105240	105410	104150	104915	25467	155565	5
2019.09.23	104600	105020	104280	105000	19474	122880	5
2019.09.24	105475	105475	103690	104140	27981	174055	5
2019.09.25	103480	104805	103270	104720	29181	189180	5
2019.09.26	105275	105615	104545	105360	20591	129660	5
2019.09.27	105500	105900	104705	105500	22834	142725	5
2019.09.30	105800	105800	104845	105070	21981	136560	5
2019.10.01	105265	105350	103985	104040	30179	192025	5
2019.10.02	103320	103395	101015	101090	44859	281520	5
2019.10.03	101250	101730	99870	101590	39085	247185	5
2019.10.04	101200	102770	101040	102475	30905	190915	5
2019.10.07	102250	102560	100380	100605	26961	172290	5
2019.10.08	100300	101485	99695	99800	28526	182050	5
2019.10.09	100845	101685	100235	101390	21804	139410	5
2019.10.10	101320	102595	101235	102315	20160	130040	5
2019.10.11	103290	104590	102840	103550	35984	242610	5
2019.10.14	103395	104450	103350	104450	16985	120790	5
2019.10.15	104655	105135	104060	104060	23017	156055	5
2019.10.16	105060	106310	104300	106060	27987	178240	5
2019.10.17	106355	106770	105595	105925	23380	148975	5
2019.10.18	105710	106300	105245	105295	17127	104615	5
2019.10.21	105680	106920	105415	106920	15227	100160	5
2019.10.22	106800	108215	106640	107745	23144	155865	5
2019.10.23	107600	108740	107520	108235	20149	132510	5
2019.10.24	108480	108620	107285	107800	18913	122535	5
2019.10.25	108110	108860	107670	108070	18753	119160	5
2019.10.28	108300	109125	107960	108525	14903	90405	5
2019.10.29	108500	108725	107900	108390	13818	86445	5
2019.10.30	108105	109055	107125	109000	19626	126570	5
2019.10.31	108690	108695	106900	107585	21600	133470	5
2019.11.01	107950	109150	107920	108950	19089	122625	5
2019.11.04	109680	109975	108960	109340	19365	122025	5
2019.11.05	109560	109915	108800	109165	20121	126200	5
2019.11.06	109300	110320	107710	108905	30657	199870	5
2019.11.07	109480	110285	109045	109950	22145	138845	5
2019.11.08	109100	109475	107540	107900	28902	187500	5
2019.11.11	107585	108880	107150	108825	22484	158445	5
2019.11.12	108875	108985	106620	106900	33924	228940	5
2019.11.13	106600	107260	105620	106600	28861	181680	5
2019.11.14	106670	107240	106180	106900	16329	108300	5
